"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J8HBDCT4","journalArticle","2020","Chanpet, P.; Chomsuwan, K.; Murphy, E.","Online Project-Based Learning and Formative Assessment","Technology, Knowledge and Learning","","","10.1007/s10758-018-9363-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046038209&doi=10.1007%2Fs10758-018-9363-2&partnerID=40&md5=6e2831f50d0be4c4f8486f35380450bf","","2020","2026-03-01 03:30:21","2026-03-01 03:30:21","","685-705","","3","25","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3PR2H4E","conferencePaper","2019","Matsumoto, T.; Kawabata, N.","Visualization of competence through cooperative education at NIT, Anan College","","","","10.1016/j.procs.2019.09.340","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076260995&doi=10.1016%2Fj.procs.2019.09.340&partnerID=40&md5=b322181acd2e5713d0b46bb68c3b0b43","","2019","2026-03-01 03:30:21","2026-03-01 03:30:21","","1698-1704","","","159","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Procedia Computer Science","","","","","","","","","","","","","","",""
"Y9BJ6W34","conferencePaper","2016","Law, C.-Y.; Grundy, J.; Vasa, R.; Cain, A.","An empirical study of user perceived usefulness and preference of open learner model visualisations","","","","10.1109/VLHCC.2016.7739663","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000786956&doi=10.1109%2FVLHCC.2016.7739663&partnerID=40&md5=4047a27b5c18f625a9b0b113401665b4","","2016","2026-03-01 03:30:21","2026-03-01 03:30:21","","49-53","","","2016-November","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC","","","","","","","","","","","","","","",""
"73QHAHN9","conferencePaper","2014","Bai, S.; Rajput, Q.; Hussain, S.; Khoja, S.A.","Faculty performance evaluation system: An ontological approach","","","","10.1109/AICCSA.2014.7073187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988286026&doi=10.1109%2FAICCSA.2014.7073187&partnerID=40&md5=1f27bde90d4e40c9197620ad892a232f","","2014","2026-03-01 03:30:21","2026-03-01 03:30:21","","117-124","","","2014","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA","","","","","","","","","","","","","","",""
"LYT7S9FG","conferencePaper","2013","Marathe, A.","Assessment of engineering faculty performance in the developing academically autonomous environment - VIT, Pune, India - A case study","","","","10.1109/FIE.2013.6685133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893285903&doi=10.1109%2FFIE.2013.6685133&partnerID=40&md5=4f20854103907714101440219c4d1c8e","","2013","2026-03-01 03:30:21","2026-03-01 03:30:21","","1730-1736","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings - Frontiers in Education Conference, FIE","","","","","","","","","","","","","","",""
"2YBQF25B","journalArticle","2013","Gorbunovs, A.; Kapenieks, A.; Kudina, I.","Competence development in a combined assessment and collaborative e-portfolio information system","Procedia Computer Science","","","10.1016/j.procs.2013.12.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891616457&doi=10.1016%2Fj.procs.2013.12.009&partnerID=40&md5=f0ced40be2297774290b77c73d65b8c2","","2013","2026-03-01 03:30:21","2026-03-01 03:30:21","","79-100","","","26","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4757NKCZ","journalArticle","2013","Goomas, D.T.","Technology Usage Among Community College Faculty in First-Time-in-College Classes: A Call to Standardization","Community College Journal of Research and Practice","","","10.1080/10668926.2012.728170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885025295&doi=10.1080%2F10668926.2012.728170&partnerID=40&md5=904fd4456e95a39fa785ff9d8952a565","","2013","2026-03-01 03:30:21","2026-03-01 03:30:21","","1011-1015","","12","37","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8358K7HD","journalArticle","2012","Bahadori, M.; Sadeghifar, J.; Peyman, H.; Shams, L.; Sayehmiri, K.; Nejati, M.","The relationship between teachers' evaluation scores and the students' academic performance: A case study in Iran","Technics Technologies Education Management","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874418098&partnerID=40&md5=b1aa34ceef05f7e386816c68cc17ccc9","","2012","2026-03-01 03:30:21","2026-03-01 03:30:21","","1635-1640","","4","7","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LCFCI6HF","conferencePaper","2012","Williams, M.; Jackson, R.","A case study of a phased approach methodology for application development and implementation","","","","10.1145/2382456.2382472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869199073&doi=10.1145%2F2382456.2382472&partnerID=40&md5=be53b424444b5d34190035bcefd47961","","2012","2026-03-01 03:30:21","2026-03-01 03:30:21","","71-76","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SIGUCCS'12 - ACM Proceedings of the SIGUCCS Annual Conference","","","","","","","","","","","","","","",""
"PQDQ443H","journalArticle","2012","Soeiro, D.; Dias De Figueiredo, A.D.; Ferreira, J.A.G.","Mediating diversity and affection in blended learning: A story with a happy ending","Electronic Journal of e-Learning","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865460310&partnerID=40&md5=7f4bb210f5912811f7b45415064e73c3","","2012","2026-03-01 03:30:21","2026-03-01 03:30:21","","339-348","","3","10","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q5D9EJGU","journalArticle","2012","McKenna, G.F.; Stansfield, M.H.","The development of E-portfolio evaluation criteria and application to the Blackboard LMS e-portfolio","International Journal of Virtual and Personal Learning Environments","","","10.4018/jvple.2012010102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875245766&doi=10.4018%2Fjvple.2012010102&partnerID=40&md5=fcbd50358f81cfeb217da03db1828c8b","","2012","2026-03-01 03:30:21","2026-03-01 03:30:21","","19-36","","1","3","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GFEX54G","conferencePaper","2011","Huotari, J.; Pulkkinen, M.; Niskanen, A.","Versatile tool for competence management: An e-Portfolio management system for Higher Education in applied sciences","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053030463&partnerID=40&md5=df7dc2bb6075746cb767db555a4a2e64","","2011","2026-03-01 03:30:21","2026-03-01 03:30:21","","438-448","","","2","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSEDU 2011 - Proceedings of the 3rd International Conference on Computer Supported Education","","","","","","","","","","","","","","",""
"2NELKZBH","conferencePaper","2011","Soeiro, D.; Dias De Figueiredo, A.D.; Ferreira, J.A.G.","The learning management system as a social mediator: A story with a happy ending","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939246512&partnerID=40&md5=604d4c8a0a768448c034d4978f9fbed6","","2011","2026-03-01 03:30:21","2026-03-01 03:30:21","","788-793","","","2","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the European Conference on Games-based Learning","","","","","","","","","","","","","","",""
"GBSI5QEE","conferencePaper","2009","Okada, K.; Lam-Miller, N.; Shao, X.; Courey, S.","Web-based tools for enhancing teacher preparation programs: Helping to build a high quality teaching workforce","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67650545159&partnerID=40&md5=283f82b9264838f6755fc8969d5eabf2","","2009","2026-03-01 03:30:21","2026-03-01 03:30:21","","139-146","","","2","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CSEDU 2009 - Proceedings of the 1st International Conference on Computer Supported Education","","","","","","","","","","","","","","",""
"BPWT3XNQ","conferencePaper","2008","Gunn, C.; Peddie, R.","A design-based research approach for eportfolio initiatives","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870998347&partnerID=40&md5=6ca64306a76ac2318880fbe2af2243a0","","2008","2026-03-01 03:30:21","2026-03-01 03:30:21","","363-367","","","","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ASCILITE 2008 - The Australasian Society for Computers in Learning in Tertiary Education","","","","","","","","","","","","","","",""
"GKUXD66X","journalArticle","2008","Scheepers, M.D.; Jordaan, A.J.J.; Mostert, E.","Analysis of three different models used to acquire three e-Learning solutions at the same university","International Journal of Emerging Technologies in Learning","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857028347&partnerID=40&md5=70b100a961a6e9f09b1d162d55138aae","","2008","2026-03-01 03:30:21","2026-03-01 03:30:21","","74-79","","1","3","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SZQZ7NY","journalArticle","2006","Kamin, C.; Souza, K.H.; Heestand, D.; Moses, A.; O'Sullivan, P.","Educational technology infrastructure and services in North American medical schools","Academic Medicine","","","10.1097/01.ACM.0000232413.43142.8b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747700296&doi=10.1097%2F01.ACM.0000232413.43142.8b&partnerID=40&md5=a61c54338f04817ad5953f2aeddc52b1","","2006","2026-03-01 03:30:21","2026-03-01 03:30:21","","632-637","","7","81","","","","","","","","","","","","","Scopus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
